Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"83080788","48054195","0","ahh, I know why, I need to use recursive setting for it to watch everything","2018-01-02 00:00:02","","5047085"
"83080789","48053955","1","`target_metadata` should just be `target_metadata = Base.metadata`.","2018-01-02 00:00:06","","341730"
"83080790","48053966","0","@IoannaDln: How exactly are you determining that the file is empty? You might also want to switch to using `PrintWriter` instead of trying `getBytes()`. Also, step through the code in a debugger to ensure that all of the statements are being executed that you expect and that `val` contains your desired XML.","2018-01-02 00:00:13","","115145"
"83080792","48045608","0","The vertical and perpendicular distances achieve the maximum at the same point (they are proportional to each other). The Euclidean distance is different and often achieves maximum at same point but does not have to.","2018-01-02 00:00:16","","3580870"
"83080794","48051286","0","The only way you'll get to the bottom of your issue is to understand the build output. [Cranking up the verbosity](https://blogs.msdn.microsoft.com/msbuild/2005/09/28/cranking-up-the-build-verbosity-in-the-ide/) should help with that.","2018-01-02 00:00:40","","3426025"
"83080795","48054069","0","@PesaThe I don't know how I could be more clear. Either the classpath is empty or it is set, the example you provide checks that. Imagine if there already is a set classpath, the if statement will then reach ""nice"". The next step would be to add something to the classpath without overwriting what's already there (since it is set containing jars etc).","2018-01-02 00:00:44","","6317562"
"83080796","48054080","0","I had considered calling it ""binary delta coding."" I didn't have it in mind when I first thought about this algorithm, but now that you mention it, it does make me wonder if it could lead to any transformation algorithms that could help with lossless data compression - sort of like Burrows Wheeler. One problem with that, though, is that as the binary input increases in size, the total possible number of cycles to the original value increases to an impossibly large number to test, so it would be a massive (and impractical) brute-force trial and error to find the optimal number of cycles.","2018-01-02 00:00:51","","6828015"
"83080798","48053916","0","@AlexanderO'Mara I managed to follow the code on the second link, thank you! But there is only one error message I'm trying to fix, I updated the post","2018-01-02 00:01:33","","9112235"
"83080799","48053836","0","Yeah, StackOverflow doesn't want people to write bots that give themselves rep. I don't see where your randomizing behavior is defined in the code provided in the original post? You might be better off just posting all of it, if you can.","2018-01-02 00:01:36","","6367601"
"83080800","8373433","1","SAL and SHLhave the same opcode, it's just a mnemonic synonym like `jne` vs. `jnz`.  So there's no possible way the CPU can even know which one you wrote; they have to behave the same.","2018-01-02 00:01:47","","224132"
