Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"48080799","2","","48080546","2018-01-03 15:56:27","","-7","","<p>Firstly almost all recenet C++ compilers comes with placement new so please provide specific compiler name and version etc.</p>

<p>Secondly this is somewhat crude method but works. 
Solution is you first allocate memory using whatever means u can. Then use reinterpret_cast to cast pointer to that memory location as pointer to your class.
Lastly have empty constructor and move all the work done inside constructor to initialize method.</p>

<pre><code>#include &lt;iostream&gt;

using namespace std;

class A
{
    public:
    A() {;}
    /* This is not replacement for constructor as constructor
    also constructs virtual table calls base class constructor
    so do not add virtual method and base classes here.*/
    void initialize() 
    {
        cout &lt;&lt; endl &lt;&lt; ""Inside Intialize"" &lt;&lt; endl;
    }
};

int main()
{
    try
    {
        char arr[2048];
        void* ptr = arr;
        A* classptr = reinterpret_cast&lt;A*&gt;(ptr);
        classptr-&gt;initialize();
    }
    catch(...)
    {
        cout &lt;&lt; endl &lt;&lt; ""Unknown exception"" &lt;&lt; endl;
    }
    return 0;
}
</code></pre>
","3494614","","","","","2018-01-03 15:56:27","","","","5","","",""
"48080800","2","","48080724","2018-01-03 15:56:32","","1","","<p>I assume you are taking about keras. So callbacks are used to execute code during training. Everything is explained quite well <a href=""https://keras.io/callbacks/"" rel=""nofollow noreferrer"">here</a></p>

<p>Here an example on how to log loss during training:</p>

<pre><code>class LossHistory(Callback):
    def on_train_begin(self, logs={}):
        self.losses = []

    def on_batch_end(self, batch, logs={}):
        self.losses.append(logs.get('loss'))
        print logs.get('loss')

model.fit(data, data, epochs=50, batch_size=72, validation_data=(data, data), verbose=0, shuffle=False,callbacks=[LossHistory()])
</code></pre>
","3656912","","","","","2018-01-03 15:56:32","","","","1","","",""
"48080801","2","","48080667","2018-01-03 15:56:37","","0","","<p>If your structure of the XML is dynamic, you can create a couple of loops which extract the values along with the names of the elements and add them into a result array one by one.</p>

<pre><code>$file = ""product.xml"";
$productArray = simplexml_load_file($file) or
     die (""ERROR loading file"");
$articles = [];
foreach ( $productArray-&gt;article as $article )  {
    $newElement = [];
    foreach ( $article as $element )    {
        $newElement [ $element-&gt;getName() ] = (string)$element;
    }
    $articles[] = $newElement;
}

print_r($articles);
</code></pre>

<p>Gives...</p>

<pre><code>Array
(
    [0] =&gt; Array
        (
            [a] =&gt; TEST&gt;
            [b] =&gt; TEST2
            [c] =&gt; TEST3
        )

    [1] =&gt; Array
        (
            [a] =&gt; TEST4&gt;
            [b] =&gt; TEST5
            [c] =&gt; TEST6
        )

)
</code></pre>
","1213708","","","","","2018-01-03 15:56:37","","","","2","","",""
"48080803","2","","48079948","2018-01-03 15:56:45","","0","","<ol>
<li>for sure because the master data can change over time and if you have that as Enum or static data you have to recompile the application.</li>
</ol>
","1045142","","","","","2018-01-03 15:56:45","","","","2","","",""
"48080804","2","","48077953","2018-01-03 15:56:47","","0","","<p><code>TemplatedParent</code> only works in a ControlTemplate. </p>

<p>I suspect that what you want is this:</p>

<pre><code>&lt;Grid 
    DataContext=""{Binding RelativeSource={RelativeSource AncestorType={x:Type infiniteReservoir:PressureSource}}}""&gt;
</code></pre>

<p>As a side note, it's usually considered poor practice to bind DataContext, since that can often have unexpected side effects. You can instead use the RelativeSource in each of the bindings on the children:</p>

<pre><code>&lt;TextBlock Text=""Label:"" Grid.Row=""2""/&gt;
    &lt;TextBox 
        Grid.Row=""2"" 
        Grid.Column=""1"" 
        Text=""{Binding Name, RelativeSource={RelativeSource AncestorType={x:Type infiniteReservoir:PressureSource}}}""
        /&gt;

    &lt;TextBlock Text=""Media:"" Grid.Row=""3""/&gt;
    &lt;TextBlock 
        Grid.Row=""3"" 
        Grid.Column=""1"" 
        Text=""{Binding ToolTip, RelativeSource={RelativeSource AncestorType={x:Type infiniteReservoir:PressureSource}}}""
        /&gt;
</code></pre>"
","424129","","","","","2018-01-03 15:56:47","","","","2","","",""
","9164280","","5647260","","2018-01-03 16:03:26","2018-01-03 16:03:26","squareArea is not a function when requiring module","<javascript><node.js>","2","3","","",""
","578011","","","","","2018-01-03 16:45:32","How can I capture the Package Version of a Dot Net Core assembly in startup code?","<c#><.net-core>","1","1","","",""
"48080808","1","","","2018-01-03 15:57:07","","0","50","<p>This question is for someone very good with react as well as understand filestack-js</p>

<p>I read the whole source code for src/ReactFilestack.jsx but I can't find the part where filestack attach itself to the dom.. somehow it just magically .. did without using <code>ref</code> or ReactDom whatsoever.</p>

<p>if possible anyone can point me to the line that the dom attachment 
 from <code>client</code> to <code>&lt;Tag&gt;</code> happens?<a href=""https://github.com/filestack/filestack-react/blob/master/src/ReactFilestack.jsx"" rel=""nofollow noreferrer"">https://github.com/filestack/filestack-react/blob/master/src/ReactFilestack.jsx</a></p>

<p>Thanks!</p>

<pre><code>import React, { Component } from 'react';
import filestack from 'filestack-js';
import PropTypes from 'prop-types';

class ReactFilestack extends Component {
  static defaultProps = {
    file: null,
    link: false,
    buttonText: 'Pick file',
    buttonClass: '',
    onSuccess: result =&gt; console.log(result),
    onError: error =&gt; console.error(error),
    mode: 'pick',
    options: {},
    security: null,
    children: null,
    render: null,
    cname: null,
  };

  static propTypes = {
    file: PropTypes.objectOf(PropTypes.any),
    apikey: PropTypes.string.isRequired,
    link: PropTypes.bool,
    mode: PropTypes.string,
    buttonText: PropTypes.string,
    buttonClass: PropTypes.string,
    onSuccess: PropTypes.func,
    onError: PropTypes.func,
    options: PropTypes.objectOf(PropTypes.any),
    security: PropTypes.objectOf(PropTypes.any),
    children: PropTypes.node,
    render: PropTypes.func,
    cname: PropTypes.string,
  };

  onClickPick = (event) =&gt; {
    event.stopPropagation();
    event.preventDefault();
    const {
      apikey,
      onSuccess,
      onError,
      options,
      mode,
      file,
      security,
      cname
    } = this.props;
    const onFinished = (result) =&gt; {
      if (typeof onSuccess === 'function') {
        onSuccess(result);
      } else {
        console.log(result);
      }
    };
    const onFail = (error) =&gt; {
      if (typeof onError === 'function') {
        onError(error);
      } else {
        console.error(error);
      }
    };

    this.initClient(mode, apikey, options, file, security, cname)
      .then(onFinished)
      .catch(onFail);
  };

  initClient = (mode, apikey, options, file, security, cname) =&gt; {
    const { url, handle } = options;
    delete options.handle;
    delete options.url;
    const client = filestack.init(apikey, security, cname);

    if (mode === 'transform') {
      return new Promise((resolve, reject) =&gt; {
        try {
          resolve(client.transform(url, options));
        } catch (err) {
          reject(err);
        }
      });
    } else if (mode === 'retrieve') {
      return client.retrieve(handle, options);
    } else if (mode === 'metadata') {
      return client.metadata(handle, options);
    } else if (mode === 'storeUrl') {
      return client.storeURL(url, options);
    } else if (mode === 'upload') {
      return client.upload(file, options);
    } else if (mode === 'remove') {
      return client.remove(handle, security);
    }

    return client.pick(options);
  };

  render () {
    const { buttonClass, buttonText, link, children, render: CustomRender } = this.props;
    if (CustomRender) {
      return (
        &lt;CustomRender onPick={this.onClickPick} /&gt;
      );
    }
    const Tag = link ? 'a' : 'button';
    return (
      &lt;Tag
        name=""filestack""
        onClick={this.onClickPick}
        className={buttonClass}
      &gt;
        {children || buttonText}
      &lt;/Tag&gt;
    );
  }
}

export default ReactFilestack;
</code></pre>
","2646226","","2646226","","2018-01-03 19:05:07","2018-02-13 17:30:17","Where the client dom got attached to the react dom for filestack-react?","<javascript><reactjs><dom><filestack>","1","10","","",""
"48080809","1","48081508","","2018-01-03 15:57:11","","0","76","<pre><code>&lt;?php
header($_SERVER[""SERVER_PROTOCOL""]."" 404 Not Found"");
</code></pre>

<p>No output on\in page. </p>

<hr>

<p><strong>why is that? and what to do to see the error page?</strong>
<a href=""https://i.stack.imgur.com/eGGeG.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/eGGeG.png"" alt=""path to 404.php-script""></a></p>

<p><a href=""https://i.stack.imgur.com/8uhl4.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/8uhl4.png"" alt=""no output in firefox""></a></p>

<hr>

<h2>reply to the first comment</h2>

<p><a href=""https://i.stack.imgur.com/kgYFI.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/kgYFI.png"" alt=""reply to the first comment""></a></p>
","6268192","","6268192","","2018-01-03 16:07:22","2018-01-03 16:38:29","header 404 not found - not work with\on\in Firefox 57.0.3 (64b)","<php><http><firefox><https><http-status-code-404>","1","5","","",""
"48080811","2","","24495348","2018-01-03 15:57:23","","0","","<p>On Windows, I solved this problem by putting the Lib directory of my Python installation directly on the PYTHONPATH.  This is necessary even though, if you run Python directly in the same shell, it doesn't require this to find the encodings package:</p>

<pre><code>set PYTHONPATH=C:\WinPython-64bit-3.4.4.6Qt5\python-3.4.4.amd64\Lib;%PYTHONPATH%
c:\apache24\bin\httpd.exe
</code></pre>

<p>Also be sure to use the correct mod_wsgi version.  I downloaded mine from the <a href=""https://www.lfd.uci.edu/~gohlke/pythonlibs/"" rel=""nofollow noreferrer"">Unofficial Binaries page</a> and chose it to match the Python (64 bit 3.4 in the example above).  My website works correctly with Python after the above change to the .bat file starting Apache. </p>

<p>Note my version of Python, <a href=""https://winpython.github.io/"" rel=""nofollow noreferrer"">WinPython</a>, is installed by unzipping the install and placing it in the C: drive.  Thus is it not installed in the Registry in the usual Windows way, which should minimize Registry interaction considerations.</p>
","1637798","","1637798","","2018-01-04 01:18:11","2018-01-04 01:18:11","","","","2","","",""
"48080812","2","","47956819","2018-01-03 15:57:24","","0","","<p>The only download error that I saw while using Chrome's Inspect function pertains to a SCRIPT tag with a Facebook url as the source (src) file.</p>

<p>This is the error as reported by Inspect.
<a href=""https://i.stack.imgur.com/RMlCO.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/RMlCO.jpg"" alt=""enter image description here""></a></p>

<p>This is the SCRIPT tag that caused the error.
<a href=""https://i.stack.imgur.com/oVM4h.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/oVM4h.jpg"" alt=""enter image description here""></a></p>

<p>I am not sure that this is the cause of the reoccurring 404 error, but it is an issue that needs attention on this website.</p>
","3057983","","","","","2018-01-03 15:57:24","","","","1","","",""
"48080813","2","","10108122","2018-01-03 15:57:27","","3","","<p>This could be used if you want to check that <code>object</code> is instance of <code>List&lt;T&gt;</code>, which is not empty:</p>

<pre><code>if(object instanceof List){
    if(((List)object).size()&gt;0 &amp;&amp; (((List)object).get(0) instanceof MyObject)){
        // The object is of List&lt;MyObject&gt; and is not empty. Do something with it.
    }
}
</code></pre>
","2298241","","","","","2018-01-03 15:57:27","","","","0","","",""
"48080814","2","","48080613","2018-01-03 15:57:34","","0","","<p>This is by design. Apple does not want iOS apps to run in the background as they might drain the battery.</p>

<p>But Apple has added many APIs so iOS can take over the background task on behalf of the app. And uploading and downloading is one of these tasks.</p>

<p>Have a look at <a href=""https://developer.apple.com/documentation/foundation/nsurlsession"" rel=""nofollow noreferrer"">NSURLSession</a> and in particular at <a href=""https://developer.apple.com/documentation/foundation/nsurlsessionconfiguration/1407496-backgroundsessionconfigurationwi?language=objc"" rel=""nofollow noreferrer"">NSURLSessionConfiguration backgroundSessionConfigurationWithIdentifier:</a>. This is how it's done.</p>
","413337","","","","","2018-01-03 15:57:34","","","","0","","",""
"48080815","1","48082397","","2018-01-03 15:57:46","","0","38","<p>I need to update the list of users for a security role. How can I avoid re-associating an user that already has the role assigned?</p>

<p>I'm trying to build a query to get the role where user x is not in the role's list of users and then use it for the association if the user was not found. Here is what I have so far:</p>

<pre><code>LinkEntity userRoles = new LinkEntity
{
    LinkFromEntityName = ""role"",
    LinkToEntityName = ""systemuserroles"",
    LinkFromAttributeName = ""roleid"",
    LinkToAttributeName = ""roleid"",
    JoinOperator = JoinOperator.LeftOuter,
    Columns = new ColumnSet(true),
    EntityAlias = ""userroles"",
    LinkCriteria =
    {
        Conditions =
        {
            new ConditionExpression{
                //not sure how to build the ""where user x does not exists""
           }
        }
    }
};

QueryExpression roleQuery = new QueryExpression
{
    EntityName = ""role"",
    ColumnSet = new ColumnSet(true),
    Criteria =
    {
        Conditions = { 
            new ConditionExpression { 
                AttributeName = ""name"", 
                Operator = ConditionOperator.Equal, 
                Values = { ""RoleName""}
            } 
        }
    },
    LinkEntities = { userRoles }
};
</code></pre>

<p>I need to build something like this query:</p>

<pre><code>select * from role 
where role.name = ""RoleName""
and not exists
(select 1 from userRoles 
where userRoles.roleid = role.roleid
and userRoles.user = ""xyz"")
</code></pre>
","4042972","","4042972","","2018-01-03 16:41:39","2018-01-03 17:38:01","How to build a query to get a security role where user X does not exists in Dynamics CRM 2016 C#","<c#><dynamics-crm><dynamics-crm-2016><query-expressions>","1","0","1","",""
